Country,Per Capita Carbon Emissions (Tonnes)
Aruba,21.59
Australia,16.75
Austria,7.97
Bahamas,7.19
Bahrain,19.18
Belgium,10.17
Brunei Darussalam,22.96
Canada,14.67
Cayman Islands,10.49
Czech Republic,10.65
Estonia,13.67
Falkland Islands (Malvinas),19.56
Finland,11.53
Germany,9.06
Greece,7.63
Greenland,11.07
Kazakhstan,15.52
South Korea,11.78
Kuwait,34.24
Libya,9.29
Luxembourg,21.34
Montserrat,12.98
Netherlands,10.96
Netherlands Antilles,23.55
New Caledonia,15.63
Norway,11.71
Oman,20.56
Palau,10.55
Qatar,40.1
Russian Federation,12.18
Saudi Arabia,16.92
South Africa,9.18
Trinidad & Tobago,37.78
Turkmenistan,10.52
Ukraine,6.71
United Arab Emirates,22.31
United Kingdom,7.96
United States,17.5