Country,2011 Total Carbon Dioxide Emissions from the Consumption of Energy (Million Metric Tons),2011 Per Capita Carbon Dioxide Emissions from the Consumption of Energy (Metric Tons of Carbon Dioxide per Person)
China,8715.31,6.52
United States,5490.63,17.62
Russia,1788.14,12.55
India,1725.76,1.45
Japan,1180.62,9.26
Germany,748.49,9.19
Iran,624.86,8.02
South Korea,610.95,12.53
Canada,552.56,16.24
Saudi Arabia,513.53,19.65
United Kingdom,496.8,7.92
Brazil, ,2.41
Mexico,462.29,4.07
South Africa,461.57,9.42
Indonesia,426.79,1.73
Italy,400.94,6.57
Australia,392.29,18.02
France,374.33,5.73
Spain,318.64,6.82
Poland,307.91,8.01